iter	Logloss
0	0.6096049144
1	0.5471697306
2	0.4975282704
3	0.461014929
4	0.431536317
5	0.4089198545
6	0.3901645044
7	0.3768958688
8	0.365357858
9	0.3568186292
10	0.3495782783
11	0.3435694148
12	0.3394239416
13	0.3356720917
14	0.3326163149
15	0.3298404699
16	0.3276800505
17	0.3258041239
18	0.3241904586
19	0.3228359822
20	0.3218434647
21	0.3209690441
22	0.3203391467
23	0.3197142669
24	0.3190349618
25	0.3185241249
26	0.3180244497
27	0.3175911966
28	0.3171658506
29	0.3168072323
30	0.3164861227
31	0.3162142837
32	0.3158799985
33	0.3156282574
34	0.3153874276
35	0.3150924771
36	0.3148737492
37	0.314673608
38	0.3144853463
39	0.314322211
40	0.3141667451
41	0.3140148135
42	0.3138536774
43	0.3137066018
44	0.3135785723
45	0.3134306726
46	0.3133166635
47	0.3132326351
48	0.31310643
49	0.3129822464
50	0.312862679
51	0.3127618783
52	0.3126559024
53	0.3125626773
54	0.3124706105
55	0.3123736478
56	0.3122841018
57	0.3121858719
58	0.3120763799
59	0.3120074569
60	0.3118728873
61	0.3117875787
62	0.3117158532
63	0.3116311005
64	0.3115665097
65	0.31151619
66	0.3114523912
67	0.3113854842
68	0.3113160677
69	0.3112595112
70	0.3111830179
71	0.3111169801
72	0.311046844
73	0.3109965533
74	0.3109202578
75	0.3108537378
76	0.3108045673
77	0.3107582132
78	0.3106740267
79	0.3106159917
80	0.3105689326
81	0.3105133148
82	0.3104334571
83	0.3103887848
84	0.3103417455
85	0.3102971059
86	0.3102570956
87	0.3101990463
88	0.3101662247
89	0.3101178393
90	0.3100739698
91	0.3100332697
92	0.3099815463
93	0.3099402003
94	0.3098878419
95	0.3098835003
96	0.3098415637
97	0.3098073133
98	0.3097668524
99	0.3097211789
100	0.3096779997
101	0.3096278231
102	0.3095853081
103	0.309545755
104	0.3094983173
105	0.3094456275
106	0.3093977132
107	0.3093358684
108	0.3092837939
109	0.3092537685
110	0.3092165973
111	0.3091808079
112	0.3091408247
113	0.3090997722
114	0.3090570806
115	0.3090063357
116	0.3089708215
117	0.3089280701
118	0.3088931849
119	0.3088584921
120	0.3088263049
121	0.3087911936
122	0.3087432115
123	0.3086915669
124	0.308653165
125	0.3086149492
126	0.3085772905
127	0.3085261638
128	0.3084873331
129	0.3084522349
130	0.3084065437
131	0.3083654829
132	0.308323164
133	0.3082834037
134	0.3082317062
135	0.308187745
136	0.3081455103
137	0.3080961437
138	0.3080563112
139	0.3080181029
140	0.3079768202
141	0.3079396136
142	0.3079007022
143	0.3078539621
144	0.3078091256
145	0.3077745195
146	0.307740657
147	0.3076931386
148	0.3076527153
149	0.3076051552
150	0.3075531038
151	0.3075210949
152	0.3074922009
153	0.3074501228
154	0.3074014496
155	0.3073605861
156	0.3073308088
157	0.3072904762
158	0.3072597383
159	0.3072171206
160	0.3071881013
161	0.307148841
162	0.3071087918
163	0.3070782429
164	0.3070407791
165	0.3070136805
166	0.3069673537
167	0.3069283829
168	0.3068788156
169	0.3068419243
170	0.3068029224
171	0.3067668124
172	0.3067338704
173	0.3066921067
174	0.3066654878
175	0.3066256485
176	0.3065838206
177	0.3065406549
178	0.3064909077
179	0.3064371187
180	0.3063967669
181	0.3063560636
182	0.306307415
183	0.3062705458
184	0.3062229985
185	0.3061788652
186	0.3061364495
187	0.3060971612
188	0.3060550551
189	0.3060116042
190	0.3059768109
191	0.3059379975
192	0.3059093584
193	0.3058757303
194	0.305842685
195	0.3058126936
196	0.3057749366
197	0.3057411364
198	0.3057128903
199	0.3056713418
