iter	Passed	Remaining
0	176	176360
1	206	102902
2	234	78021
3	265	66004
4	294	58652
5	322	53478
6	351	49864
7	385	47771
8	420	46316
9	450	44570
10	480	43206
11	510	42031
12	539	40981
13	574	40446
14	606	39837
15	640	39411
16	670	38785
17	704	38426
18	736	38009
19	767	37618
20	798	37205
21	829	36853
22	861	36596
23	894	36366
24	925	36094
25	955	35781
26	989	35675
27	1020	35421
28	1051	35213
29	1086	35126
30	1115	34859
31	1149	34765
32	1181	34613
33	1215	34526
34	1251	34493
35	1281	34322
36	1314	34206
37	1349	34154
38	1386	34164
39	1424	34184
40	1467	34320
41	1504	34315
42	1542	34323
43	1601	34787
44	1659	35207
45	1714	35552
46	1762	35732
47	1796	35632
48	1827	35464
49	1861	35368
50	1896	35298
51	1930	35196
52	1959	35005
53	1990	34870
54	2018	34685
55	2050	34569
56	2085	34494
57	2117	34394
58	2149	34287
59	2183	34213
60	2213	34068
61	2246	33979
62	2278	33886
63	2315	33869
64	2354	33864
65	2390	33828
66	2423	33742
67	2451	33595
68	2480	33473
69	2512	33383
70	2544	33295
71	2577	33224
72	2611	33165
73	2641	33057
74	2675	33001
75	2707	32923
76	2739	32834
77	2768	32728
78	2798	32627
79	2835	32609
80	2878	32654
81	2916	32649
82	2954	32644
83	2992	32628
84	3025	32565
85	3057	32498
86	3087	32398
87	3125	32387
88	3155	32302
89	3185	32211
90	3214	32106
91	3246	32042
92	3277	31963
93	3308	31890
94	3340	31820
95	3374	31779
96	3404	31697
97	3437	31636
98	3468	31566
99	3501	31516
100	3536	31482
101	3568	31418
102	3599	31345
103	3630	31282
104	3665	31246
105	3697	31183
106	3726	31100
107	3756	31029
108	3790	30986
109	3821	30916
110	3854	30872
111	3889	30838
112	3930	30849
113	3961	30789
114	3997	30760
115	4041	30802
116	4085	30835
117	4126	30847
118	4161	30806
119	4194	30757
120	4230	30731
121	4259	30652
122	4292	30605
123	4330	30591
124	4358	30512
125	4390	30452
126	4423	30406
127	4456	30356
128	4489	30310
129	4522	30267
130	4558	30240
131	4591	30190
132	4622	30134
133	4657	30098
134	4689	30047
135	4724	30015
136	4761	29992
137	4796	29957
138	4830	29922
139	4863	29873
140	4952	30172
141	5001	30217
142	5036	30182
143	5069	30136
144	5104	30101
145	5137	30053
146	5172	30015
147	5202	29951
148	5233	29888
149	5266	29845
150	5296	29779
151	5329	29731
152	5361	29683
153	5393	29629
154	5427	29589
155	5459	29535
156	5493	29496
157	5524	29441
158	5557	29393
159	5592	29362
160	5626	29321
161	5659	29273
162	5692	29231
163	5725	29184
164	5752	29113
165	5785	29064
166	5818	29020
167	5851	28976
168	5884	28936
169	5917	28888
170	5950	28848
171	5989	28834
172	6022	28787
173	6052	28730
174	6084	28682
175	6117	28643
176	6148	28590
177	6181	28547
178	6216	28513
179	6250	28475
180	6281	28423
181	6314	28379
182	6345	28327
183	6374	28269
184	6407	28225
185	6441	28188
186	6471	28133
187	6500	28077
188	6532	28032
189	6563	27980
190	6596	27938
191	6632	27910
192	6665	27871
193	6697	27824
194	6730	27786
195	6760	27731
196	6795	27698
197	6825	27648
198	6860	27612
199	6899	27597
200	6930	27550
201	6964	27515
202	6998	27475
203	7033	27442
204	7066	27405
205	7095	27349
206	7126	27301
207	7158	27256
208	7191	27216
209	7222	27171
210	7254	27127
211	7284	27074
212	7315	27031
213	7347	26986
214	7382	26955
215	7412	26903
216	7444	26863
217	7477	26823
218	7511	26787
219	7541	26737
220	7572	26693
221	7608	26664
222	7642	26627
223	7678	26601
224	7710	26559
225	7743	26520
226	7776	26480
227	7810	26446
228	7843	26406
229	7874	26363
230	7908	26327
231	7938	26280
232	7970	26237
233	8003	26199
234	8040	26173
235	8072	26132
236	8106	26097
237	8142	26068
238	8177	26037
239	8209	25996
240	8239	25950
241	8275	25921
242	8309	25884
243	8338	25836
244	8374	25805
245	8411	25780
246	8444	25744
247	8472	25692
248	8505	25652
249	8537	25613
250	8567	25564
251	8600	25528
252	8638	25504
253	8670	25464
254	8705	25434
255	8739	25398
256	8770	25356
257	8807	25329
258	8843	25301
259	8875	25261
260	8909	25226
261	8942	25189
262	8972	25143
263	9003	25101
264	9035	25060
265	9069	25026
266	9099	24981
267	9133	24946
268	9168	24915
269	9202	24879
270	9235	24844
271	9271	24815
272	9303	24774
273	9334	24732
274	9368	24698
275	9401	24661
276	9433	24622
277	9464	24581
278	9497	24544
279	9532	24513
280	9567	24481
281	9600	24444
282	9641	24427
283	9669	24378
284	9701	24340
285	9737	24309
286	9776	24288
287	9821	24281
288	9860	24257
289	9895	24228
290	9927	24188
291	9963	24159
292	9995	24119
293	10027	24080
294	10063	24049
295	10097	24014
296	10129	23977
297	10163	23941
298	10196	23905
299	10226	23862
300	10259	23825
301	10289	23782
302	10330	23764
303	10362	23724
304	10394	23685
305	10429	23652
306	10465	23623
307	10499	23589
308	10533	23555
309	10563	23511
310	10595	23473
311	10629	23438
312	10660	23399
313	10693	23361
314	10731	23335
315	10762	23295
316	10796	23261
317	10826	23219
318	10861	23187
319	10892	23147
320	10924	23107
321	10961	23080
322	10993	23042
323	11027	23007
324	11059	22970
325	11090	22929
326	11130	22907
327	11168	22880
328	11203	22849
329	11247	22836
330	11285	22810
331	11315	22768
332	11347	22728
333	11379	22690
334	11410	22649
335	11441	22611
336	11481	22587
337	11522	22567
338	11560	22540
339	11596	22510
340	11629	22475
341	11668	22449
342	11698	22408
343	11729	22368
344	11759	22326
345	11794	22293
346	11826	22255
347	11866	22232
348	11898	22194
349	11932	22161
350	11969	22132
351	12009	22108
352	12050	22086
353	12091	22065
354	12124	22029
355	12157	21992
356	12191	21957
357	12224	21921
358	12258	21887
359	12287	21844
360	12324	21814
361	12355	21776
362	12388	21739
363	12424	21708
364	12454	21667
365	12489	21634
366	12519	21593
367	12561	21573
368	12599	21545
369	12639	21521
370	12676	21492
371	12710	21456
372	12744	21423
373	12776	21385
374	12807	21345
375	12842	21313
376	12878	21281
377	12914	21250
378	12946	21212
379	12979	21177
380	13015	21146
381	13053	21118
382	13086	21082
383	13117	21042
384	13151	21008
385	13183	20971
386	13215	20933
387	13248	20897
388	13282	20863
389	13321	20836
390	13360	20809
391	13398	20780
392	13436	20753
393	13472	20721
394	13510	20693
395	13548	20664
396	13581	20628
397	13616	20595
398	13650	20561
399	13682	20523
400	13717	20490
401	13747	20449
402	13781	20415
403	13815	20380
404	13846	20342
405	13879	20305
406	13911	20268
407	13942	20230
408	13977	20196
409	14009	20159
410	14043	20126
411	14078	20092
412	14115	20062
413	14147	20025
414	14180	19988
415	14213	19954
416	14252	19926
417	14289	19895
418	14326	19866
419	14361	19832
420	14394	19796
421	14427	19760
422	14459	19723
423	14491	19686
424	14525	19652
425	14559	19617
426	14592	19581
427	14627	19549
428	14660	19513
429	14691	19474
430	14723	19438
431	14758	19405
432	14795	19374
433	14832	19343
434	14861	19302
435	14893	19265
436	14930	19235
437	14971	19209
438	15007	19178
439	15041	19143
440	15078	19113
441	15113	19079
442	15143	19040
443	15173	19000
444	15203	18962
445	15240	18930
446	15275	18897
447	15304	18857
448	15334	18818
449	15369	18785
450	15401	18747
451	15433	18711
452	15466	18675
453	15497	18637
454	15530	18601
455	15561	18564
456	15593	18527
457	15625	18491
458	15657	18454
459	15689	18417
460	15720	18380
461	15752	18344
462	15787	18310
463	15847	18306
464	15906	18300
465	15941	18267
466	15977	18235
467	16005	18194
468	16038	18159
469	16068	18120
470	16100	18083
471	16133	18047
472	16164	18009
473	16199	17976
474	16230	17938
475	16260	17900
476	16291	17862
477	16322	17824
478	16354	17788
479	16386	17752
480	16418	17715
481	16451	17680
482	16482	17643
483	16516	17608
484	16546	17569
485	16577	17532
486	16612	17499
487	16642	17461
488	16673	17423
489	16704	17385
490	16738	17351
491	16768	17313
492	16803	17280
493	16844	17254
494	16899	17240
495	16936	17209
496	16972	17177
497	17007	17144
498	17043	17111
499	17078	17078
500	17111	17043
501	17149	17012
502	17184	16979
503	17220	16946
504	17253	16912
505	17290	16880
506	17320	16842
507	17356	16809
508	17395	16780
509	17429	16745
510	17468	16716
511	17500	16679
512	17538	16649
513	17568	16611
514	17634	16607
515	17680	16583
516	17719	16554
517	17759	16524
518	17804	16501
519	17854	16480
520	17891	16449
521	17939	16427
522	18060	16472
523	18098	16440
524	18142	16414
525	18184	16386
526	18228	16360
527	18273	16335
528	18314	16306
529	18357	16279
530	18400	16251
531	18439	16221
532	18482	16193
533	18525	16166
534	18567	16138
535	18608	16109
536	18652	16082
537	18691	16050
538	18729	16019
539	18769	15989
540	18821	15968
541	18859	15936
542	18900	15907
543	18945	15880
544	19047	15901
545	19104	15885
546	19137	15848
547	19173	15814
548	19208	15779
